SUBJECT_EN,TERM_EN,TERM_EN_PARAMETER,ABBREVIATION_EN,ABBREVIATION_EN_PARAMETER,SYNONYMS_EN,SYNONYMS_EN_PARAMETERS,TEXTUAL_SUPPORT_1_EN,TEXTUAL_SUPPORT_2_EN,TEXTUAL_SUPPORT_3_EN,DOMAINE_FR,TERME_FR,TERME_FR_PARAMETRE,ABBREVIATION_FR,ABBREVIATION_FR_PARAMETRE,SYNONYMES_FR,SYNONYMES_FR_PARAMETRE,JUSTIFICATION_1_FR,JUSTIFICATION_2_FR,JUSTIFICATION_3_FR,UNIVERSAL_ENTRIES,DOM_SUBJ_ES,TERME_TERM_ES,TERME_TERM_PARAM_ES,ABBR_ES,ABBR_PARAM_ES,SYNO_ES,SYNO_PARAM_ES,JUST_TEXTSUPP_1_ES,JUST_TEXTSUPP_2_ES,JUST_TEXTSUPP_3_ES,DOM_SUBJ_PT,TERME_TERM_PT,TERME_TERM_PARAM_PT,ABBR_PT,ABBR_PARAM_PT,SYNO_PT,SYNO_PARAM_PT,JUST_TEXTSUPP_1_PT,JUST_TEXTSUPP_2_PT,JUST_TEXTSUPP_3_PT
Boxing,overmatched,correct,,,,,,,,Boxe,surclassé,,,,,,,,,,Boxeo,sobrecalificado,"correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,"speed ball",correct,,,"point ball",correct,,,,Boxe,"ballon de vitesse","correct,masculine noun",,,,,,,,,Boxeo,"pelota suspendida en un solo punto","correct,feminine noun",,,,,,,,,,,,,,,,,
Boxing,"forearm blow",correct,,,,,"OBS: Rules/refereeing.",,,Boxe,"coup de l'avant-bras","correct,masculine noun",,,,,"OBS: Règlement/arbitrage.",,,,Boxeo,"golpe de antebrazo","correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,"spit out the gumshield",correct,,,,,"OBS: Rules/refereeing.",,,Boxe,"cracher le protège-dents",correct,,,,,"OBS: Règlement/arbitrage.",,,,,,,,,,,,,,,,,,,,,,,
Boxing,"loss by knockout",correct,,,"loss by knock-out",correct,"OBS: Rules/refereeing.",,,Boxe,"défaite par mise hors de combat","correct,feminine noun",,,,,"OBS: Règlement/arbitrage.",,,,Boxeo,"derrota por puesta fuera de combate","correct,feminine noun",,,,,,,,,,,,,,,,,
Boxing,bye,correct,,,,,,,,Boxe,exemption,"correct,feminine noun",,,,,"OBS: Règlement/arbitrage.",,,,Boxeo,exención,"correct,feminine noun",,,,,,,,,,,,,,,,,
Boxing,"suspend a count",correct,,,,,"OBS: Rules/refereeing.",,,Boxe,"suspendre le compte des secondes",correct,,,,,"OBS: Règlement/arbitrage.",,,,,,,,,,,,,,,,,,,,,,,
Boxing,"Muay Thai",correct,,,"Thai boxing",correct,,,,Boxe,"Muay Thaï","correct,masculine noun",,,"boxe thaï","correct,feminine noun",,,,,Boxeo,"Muay Thai","masculine noun",,,,,"DEF: Boxeo tailandés y deporte nacional de Tailandia.",,,,,,,,,,,,
Boxing,blow,"correct,noun",,,hit,"correct,noun","PHR: A hit below the belt.",,,Boxe,coup,"correct,masculine noun",,,,,,,,,Boxeo,golpe,"correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,"solar plexus blow",correct,,,,,,,,Boxe,"coup au plexus solaire","masculine noun",,,,,,,,,Boxeo,"golpe al plexo","correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,"southpaw boxing stance",correct,,,southpaw,correct,"CONT: All combinations start in Orthodox boxing stance (left lead, right is the power side) then when indicated change to the southpaw boxing stance (right lead, left side is the power side).",,,Boxe,"fausse garde","correct,feminine noun",,,,,"DEF: [...] position symétrique par rapport à celle d'un droitier.","CONT: En règle générale, on estime aux environs de 15 % le nombre des boxeurs en fausse garde, et très rares sont les champions du monde qui boxent dans cette position.",,,Boxeo,zurdo,"correct,masculine noun",,,,,,,,,,,,,,,,,
Boxing,stagger,"correct,verb",,,,,"OBS: """"stagger"""" is intransitive.",,,Boxe,chanceler,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,
